ID	File	Speaker	Adjective	Ethnicity	Gender	Age	Education	L1	Frequency	Function	Priming	Gradability	SemanticCategory	Emotionality	very	FileSpeaker
32363	DPC002	DS	conservative	PAKEHA	Woman	30-39	University	ENGLISH	0.04249	Predicative	NoPrime	1	HumanPropensity	NonEmotional	very	DPC002DS
32365	DPC002	MK	conservative	PAKEHA	Woman	60+	University	ENGLISH	0.05219	Attributive	Prime	1	HumanPropensity	NonEmotional	very	DPC002MK
32389	DPC002	MK	different	PAKEHA	Woman	60+	University	ENGLISH	0.88727	Attributive	NoPrime	1	Other	NonEmotional	other	DPC002MK
32486	DPC002	DS	reasonable	PAKEHA	Woman	30-39	University	ENGLISH	0.12747	Predicative	NoPrime	-3.66356164612965	HumanPropensity	NonEmotional	other	DPC002DS
32565	DPC003	MJ	tough	PAKEHA	Man	40-49	University	ENGLISH	0.11359	Predicative	NoPrime	-0.456301080574778	PhysicalProperty	NegativeEmotional	other	DPC003MJ
32610	DPC003	RW	nasty	PAKEHA	Woman	40-49	University	ENGLISH	0.09471	Attributive	NoPrime	0.192057198752175	HumanPropensity	NegativeEmotional	other	DPC003RW
32694	DPC003	FG	long	PAKEHA	Woman	40-49	University	ENGLISH	0.76672	Attributive	NoPrime	-0.0147178678387015	Dimension	NonEmotional	very	DPC003FG
32751	DPC003	MJ	good	PAKEHA	Man	40-49	University	ENGLISH	3.54962	Predicative	NoPrime	-2.13002461129665	Value	PositiveEmotional	very	DPC003MJ
32772	DPC003	MJ	interested	PAKEHA	Man	40-49	University	ENGLISH	0.19878	Attributive	NoPrime	1	HumanPropensity	PositiveEmotional	very	DPC003MJ
33063	DPC004	WE	easy	MAORI	Woman	60+	NoUniversity	OTHER	0.10438	Attributive	NoPrime	0.908018225496896	Difficulty	NonEmotional	other	DPC004WE
33094	DPC004	BH	wrong	PAKEHA	Woman	40-49	University	ENGLISH	0.31571	Predicative	NoPrime	-3.25039811847062	Value	NegativeEmotional	other	DPC004BH
33123	DPC007	LL	technical	MAORI	Woman	20-29	University	ENGLISH	0.10307	Attributive	NoPrime	-3.12641689096246	Other	NonEmotional	very	DPC007LL
33131	DPC007	LL	perfect	MAORI	Woman	20-29	University	ENGLISH	0.0773	Attributive	NoPrime	-1.8975885705086	Value	PositiveEmotional	other	DPC007LL
33228	DPC007	RR	right	MAORI	Woman	20-29	University	ENGLISH	1.57176	Attributive	NoPrime	-3.66356164612965	Value	NonEmotional	other	DPC007RR
33293	DPC007	RR	stupid	MAORI	Woman	20-29	University	ENGLISH	0.20613	Predicative	NoPrime	0.0369475289992608	HumanPropensity	NegativeEmotional	other	DPC007RR
33334	DPC007	LL	important	MAORI	Woman	20-29	University	ENGLISH	0.4638	Attributive	NoPrime	1	Value	PositiveEmotional	very	DPC007LL
33352	DPC007	LL	obvious	MAORI	Woman	20-29	University	ENGLISH	0.12883	Attributive	NoPrime	-3.66356164612965	Other	PositiveEmotional	other	DPC007LL
33443	DPC007	LL	neat	MAORI	Woman	20-29	University	ENGLISH	0.05153	Attributive	NoPrime	-1.59991726203365	HumanPropensity	NonEmotional	other	DPC007LL
33478	DPC007	LL	clever	MAORI	Woman	20-29	University	ENGLISH	0.0773	Attributive	NoPrime	-3.66356164612965	HumanPropensity	PositiveEmotional	very	DPC007LL
33585	DPC008	AN	strange	PAKEHA	Woman	20-29	University	ENGLISH	0.10307	Attributive	NoPrime	1.14547670290663	Other	NonEmotional	other	DPC008AN
33675	DPC008	KK	hot	PAKEHA	Woman	20-29	University	ENGLISH	0.28343	Predicative	NoPrime	-0.720024469892222	PhysicalProperty	NonEmotional	other	DPC008KK
33681	DPC008	KK	hot	PAKEHA	Woman	20-29	University	ENGLISH	0.28343	Attributive	NoPrime	-0.0966347381760869	PhysicalProperty	NonEmotional	other	DPC008KK
33703	DPC008	HH	cold	PAKEHA	Man	30-39	University	ENGLISH	0.13788	Attributive	NoPrime	-3.66356164612965	PhysicalProperty	NegativeEmotional	other	DPC008HH
33705	DPC008	HH	cold	PAKEHA	Man	30-39	University	ENGLISH	0.13788	Predicative	Prime	-1.71167349053572	PhysicalProperty	NegativeEmotional	other	DPC008HH
33729	DPC008	HH	good	PAKEHA	Man	30-39	University	ENGLISH	6.02718	Predicative	NoPrime	0.300564246752743	Value	PositiveEmotional	other	DPC008HH
33819	DPC008	HH	big	PAKEHA	Man	30-39	University	ENGLISH	1.24089	Attributive	NoPrime	-1.22282534631512	Dimension	NonEmotional	other	DPC008HH
33882	DPC009	SG	sure	PAKEHA	Man	20-29	University	ENGLISH	1.25365	Predicative	NoPrime	-1.77366920111152	HumanPropensity	NonEmotional	other	DPC009SG
33929	DPC009	SG	valid	PAKEHA	Man	20-29	University	ENGLISH	0.01885	Attributive	NoPrime	-0.725439100023993	Value	NonEmotional	other	DPC009SG
33939	DPC009	SG	easy	PAKEHA	Man	20-29	University	ENGLISH	0.30163	Predicative	NoPrime	-1.84072751703456	Difficulty	NonEmotional	other	DPC009SG
34258	DPC010	BN	busy	PAKEHA	Man	20-29	University	ENGLISH	0.16024	Attributive	NoPrime	-3.66356164612965	HumanPropensity	NonEmotional	other	DPC010BN
34265	DPC010	BN	clear	PAKEHA	Man	20-29	University	ENGLISH	0.23565	Attributive	NoPrime	1.39902097061471	PhysicalProperty	NonEmotional	other	DPC010BN
34417	DPC010	BN	close	PAKEHA	Man	20-29	University	ENGLISH	0.09426	Attributive	NoPrime	-0.767223722558746	Position	NonEmotional	other	DPC010BN
34432	DPC012	JU	awesome	PAKEHA	Man	20-29	University	ENGLISH	0.1546	Attributive	NoPrime	-1.91776766288486	Value	NonEmotional	other	DPC012JU
34434	DPC012	AH	amazing	PAKEHA	Man	16-19	NoUniversity	ENGLISH	0.29838	Attributive	Prime	1	Value	NonEmotional	other	DPC012AH
34463	DPC012	AH	fast	PAKEHA	Man	16-19	NoUniversity	ENGLISH	0.02131	Attributive	NoPrime	-1.159507656611	Speed	NonEmotional	very	DPC012AH
34565	DPC012	AH	tall	PAKEHA	Man	16-19	NoUniversity	ENGLISH	0.10656	Predicative	NoPrime	-0.459050003199691	Dimension	NonEmotional	other	DPC012AH
34582	DPC012	JU	difficult	PAKEHA	Man	20-29	University	ENGLISH	0.2319	Predicative	NoPrime	-2.67140011370935	Difficulty	NonEmotional	very	DPC012JU
34585	DPC012	JU	rude	PAKEHA	Man	20-29	University	ENGLISH	0.02577	Predicative	NoPrime	-0.977831079307236	HumanPropensity	NonEmotional	other	DPC012JU
34586	DPC012	AH	simple	PAKEHA	Man	16-19	NoUniversity	ENGLISH	0.08525	Attributive	Prime	-0.929767028825075	Difficulty	NonEmotional	other	DPC012AH
34719	DPC013	TM	good	MAORI	Man	20-29	University	ENGLISH	6.08091	Attributive	NoPrime	-1.55828871626929	Value	PositiveEmotional	other	DPC013TM
34720	DPC013	RN	good	MAORI	Woman	20-29	University	ENGLISH	6.89038	Attributive	Prime	-3.66356164612965	Value	PositiveEmotional	other	DPC013RN
34839	DPC013	TM	good	MAORI	Man	20-29	University	ENGLISH	6.08091	Attributive	NoPrime	-1.414370662825	Value	PositiveEmotional	very	DPC013TM
34923	DPC013	RN	good	MAORI	Woman	20-29	University	ENGLISH	6.89038	Attributive	NoPrime	-0.3132091293024	Value	PositiveEmotional	very	DPC013RN
34935	DPC013	TM	lucky	MAORI	Man	20-29	University	ENGLISH	0.2319	Attributive	NoPrime	-3.66356164612965	HumanPropensity	PositiveEmotional	other	DPC013TM
34941	DPC013	TM	lucky	MAORI	Man	20-29	University	ENGLISH	0.2319	Attributive	Prime	-3.66356164612965	HumanPropensity	PositiveEmotional	other	DPC013TM
35012	DPC013	HH	good	MAORI	Man	40-49	NoUniversity	ENGLISH	4.26204	Predicative	NoPrime	0.311399491632494	Value	PositiveEmotional	other	DPC013HH
35115	DPC014	DV	cool	PAKEHA	Man	20-29	University	ENGLISH	0.98973	Attributive	NoPrime	-3.66356164612965	PhysicalProperty	PositiveEmotional	other	DPC014DV
35181	DPC014	FR	greasy	PAKEHA	Woman	40-49	NoUniversity	ENGLISH	0.0142	Attributive	NoPrime	-2.37653186066567	PhysicalProperty	NonEmotional	very	DPC014FR
35198	DPC014	DV	strange	PAKEHA	Man	20-29	University	ENGLISH	0.22622	Attributive	NoPrime	-2.42441032701995	Other	NonEmotional	other	DPC014DV
35292	DPC022	MJ	hard	PAKEHA	Man	60+	NoUniversity	ENGLISH	0.52192	Predicative	NoPrime	-0.952342882541623	PhysicalProperty	NonEmotional	very	DPC022MJ
35431	DPC022	PL	trendy	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.02577	Attributive	NoPrime	1	Value	PositiveEmotional	other	DPC022PL
35533	DPC023	MD	bad	PAKEHA	Man	16-19	NoUniversity	ENGLISH	1.30009	Attributive	NoPrime	1.13272066003557	Value	NegativeEmotional	other	DPC023MD
35535	DPC023	MD	bad	PAKEHA	Man	16-19	NoUniversity	ENGLISH	1.30009	Attributive	Prime	0.390839324441625	Value	NegativeEmotional	other	DPC023MD
35626	DPC023	MD	busy	PAKEHA	Man	16-19	NoUniversity	ENGLISH	0.12788	Predicative	NoPrime	-3.66356164612965	HumanPropensity	NonEmotional	other	DPC023MD
35633	DPC023	FI	bad	PAKEHA	Woman	20-29	University	ENGLISH	1.22537	Predicative	NoPrime	0.390812170522344	Value	NegativeEmotional	other	DPC023FI
35635	DPC023	FI	sick	PAKEHA	Woman	20-29	University	ENGLISH	0.40532	Attributive	Prime	-3.66356164612965	HumanPropensity	NegativeEmotional	other	DPC023FI
35642	DPC023	MD	busy	PAKEHA	Man	16-19	NoUniversity	ENGLISH	0.12788	Predicative	Prime	1.49964576256743	HumanPropensity	NonEmotional	other	DPC023MD
