Adjective	Ethnicity	Gender	Age	Education	L1	Frequency	Function	Priming	Gradability	SemanticCategory	Emotionality	very
other	PAKEHA	Woman	30-39	University	ENGLISH	-0.652986445575174	Predicative	NoPrime	1.44098834995009	HumanPropensity	NonEmotional	very
other	PAKEHA	Woman	60+	University	ENGLISH	-0.648589946138568	Attributive	Prime	1.44098834995009	HumanPropensity	NonEmotional	very
different	PAKEHA	Woman	60+	University	ENGLISH	-0.270092136909606	Attributive	NoPrime	1.44098834995009	Other	NonEmotional	other
other	PAKEHA	Woman	30-39	University	ENGLISH	-0.614469484531589	Predicative	NoPrime	-1.22709041023302	HumanPropensity	NonEmotional	other
other	PAKEHA	Man	40-49	University	ENGLISH	-0.620760557952217	Predicative	NoPrime	0.607821282299571	PhysicalProperty	NegativeEmotional	other
other	PAKEHA	Woman	40-49	University	ENGLISH	-0.629317868195838	Attributive	NoPrime	0.97875472015747	HumanPropensity	NegativeEmotional	other
other	PAKEHA	Woman	40-49	University	ENGLISH	-0.324731106711962	Attributive	NoPrime	0.860456259631185	Dimension	NonEmotional	very
good	PAKEHA	Man	40-49	University	ENGLISH	0.936610984229361	Predicative	NoPrime	-0.349735739905508	Value	PositiveEmotional	very
other	PAKEHA	Man	40-49	University	ENGLISH	-0.582148414962066	Attributive	NoPrime	1.44098834995009	HumanPropensity	PositiveEmotional	very
other	MAORI	Woman	60+	NoUniversity	OTHER	-0.62493496618017	Attributive	NoPrime	1.38836448915491	Difficulty	NonEmotional	other
other	PAKEHA	Woman	40-49	University	ENGLISH	-0.529150200619557	Predicative	NoPrime	-0.990714670771266	Value	NegativeEmotional	other
other	MAORI	Woman	20-29	University	ENGLISH	-0.625528720227794	Attributive	NoPrime	-0.919783544547067	Other	NonEmotional	very
other	MAORI	Woman	20-29	University	ENGLISH	-0.637208904813498	Attributive	NoPrime	-0.216756332623022	Value	PositiveEmotional	other
other	MAORI	Woman	20-29	University	ENGLISH	0.0401511516844604	Attributive	NoPrime	-1.22709041023302	Value	NonEmotional	other
other	MAORI	Woman	20-29	University	ENGLISH	-0.578817046832266	Predicative	NoPrime	0.890014644059147	HumanPropensity	NegativeEmotional	other
other	MAORI	Woman	20-29	University	ENGLISH	-0.462028798396156	Attributive	NoPrime	1.44098834995009	Value	PositiveEmotional	very
other	MAORI	Woman	20-29	University	ENGLISH	-0.613853068115735	Attributive	NoPrime	-1.22709041023302	Other	PositiveEmotional	other
neat	MAORI	Woman	20-29	University	ENGLISH	-0.648889089399203	Attributive	NoPrime	-0.0464550573483496	HumanPropensity	NonEmotional	other
other	MAORI	Woman	20-29	University	ENGLISH	-0.637208904813498	Attributive	NoPrime	-1.22709041023302	HumanPropensity	PositiveEmotional	very
other	PAKEHA	Woman	20-29	University	ENGLISH	-0.625528720227794	Attributive	NoPrime	1.52421729181447	Other	NonEmotional	other
other	PAKEHA	Woman	20-29	University	ENGLISH	-0.543781025548798	Predicative	NoPrime	0.456942012978593	PhysicalProperty	NonEmotional	other
other	PAKEHA	Woman	20-29	University	ENGLISH	-0.543781025548798	Attributive	NoPrime	0.81359064951767	PhysicalProperty	NonEmotional	other
other	PAKEHA	Man	30-39	University	ENGLISH	-0.609751179466118	Attributive	NoPrime	-1.22709041023302	PhysicalProperty	NegativeEmotional	other
other	PAKEHA	Man	30-39	University	ENGLISH	-0.609751179466118	Predicative	Prime	-0.110392117091519	PhysicalProperty	NegativeEmotional	other
good	PAKEHA	Man	30-39	University	ENGLISH	2.05955852486416	Predicative	NoPrime	1.04083288531709	Value	PositiveEmotional	other
big	PAKEHA	Man	30-39	University	ENGLISH	-0.109814803840264	Attributive	NoPrime	0.1692836864078	Dimension	NonEmotional	other
other	PAKEHA	Man	20-29	University	ENGLISH	-0.104031367467987	Predicative	NoPrime	-0.14586059615559	HumanPropensity	NonEmotional	other
other	PAKEHA	Man	20-29	University	ENGLISH	-0.663701213274284	Attributive	NoPrime	0.453844239057064	Value	NonEmotional	other
other	PAKEHA	Man	20-29	University	ENGLISH	-0.535531923513104	Predicative	NoPrime	-0.184225451599582	Difficulty	NonEmotional	other
other	PAKEHA	Man	20-29	University	ENGLISH	-0.599616568393694	Attributive	NoPrime	-1.22709041023302	HumanPropensity	NonEmotional	other
other	PAKEHA	Man	20-29	University	ENGLISH	-0.565437184629317	Attributive	NoPrime	1.66927296530375	PhysicalProperty	NonEmotional	other
other	PAKEHA	Man	20-29	University	ENGLISH	-0.629521829509907	Attributive	NoPrime	0.429938762439259	Position	NonEmotional	other
other	PAKEHA	Man	20-29	University	ENGLISH	-0.60217288353003	Attributive	NoPrime	-0.228301029971143	Value	NonEmotional	other
other	PAKEHA	Man	16-19	NoUniversity	ENGLISH	-0.53700497744805	Attributive	Prime	1.44098834995009	Value	NonEmotional	other
other	PAKEHA	Man	16-19	NoUniversity	ENGLISH	-0.662586224757372	Attributive	NoPrime	0.2055084853624	Speed	NonEmotional	very
other	PAKEHA	Man	16-19	NoUniversity	ENGLISH	-0.623946886925345	Predicative	NoPrime	0.606248591162314	Dimension	NonEmotional	other
other	PAKEHA	Man	20-29	University	ENGLISH	-0.567136862246562	Predicative	NoPrime	-0.65946306611541	Difficulty	NonEmotional	very
other	PAKEHA	Man	20-29	University	ENGLISH	-0.660564741511262	Predicative	NoPrime	0.30944780340041	HumanPropensity	NonEmotional	other
other	PAKEHA	Man	16-19	NoUniversity	ENGLISH	-0.63360558826494	Attributive	Prime	0.336945814995529	Difficulty	NonEmotional	other
good	MAORI	Man	20-29	University	ENGLISH	2.08391150576404	Attributive	NoPrime	-0.0226388740963546	Value	PositiveEmotional	other
good	MAORI	Woman	20-29	University	ENGLISH	2.45080164998564	Attributive	Prime	-1.22709041023302	Value	PositiveEmotional	other
