"Age"	"Function"	"Variant"	"Adjective"	"VariantAdjective"	"VariantOtherAdjective"	"OtherVariantAdjective"	"OtherVariantOtherAdjective"	"AmplifierFrequency"	"AdjectiveFrequency"	"TotalFrequency"	"Expected"	"Probability"	"OddsRatio"	"p"	"Effect"
"16-19"	"Attributive"	"other"	"good"	6	71	28	87	77	34	192	13.6354166666667	0.177083333333333	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.0110666747367188	1.96
"16-19"	"Attributive"	"really"	"good"	24	76	10	82	100	34	192	17.7083333333333	0.177083333333333	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.958084510433507	0.02
"16-19"	"Attributive"	"very"	"good"	4	11	30	147	15	34	192	2.65625	0.177083333333333	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.889532174767552	0.05
"16-19"	"Attributive"	"other"	"nice"	3	74	15	100	77	18	192	7.21875	0.09375	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.0619174404350283	1.21
"16-19"	"Attributive"	"really"	"nice"	13	87	5	87	100	18	192	9.375	0.09375	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.916153613315981	0.04
"16-19"	"Attributive"	"very"	"nice"	2	13	16	161	15	18	192	1.40625	0.09375	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.839505030655795	0.08
"16-19"	"Attributive"	"other"	"other"	68	9	72	43	77	140	192	56.1458333333333	0.729166666666667	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.999705237526026	0
"16-19"	"Attributive"	"really"	"other"	63	37	77	15	100	140	192	72.9166666666667	0.729166666666667	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.0192401056540569	1.72
"16-19"	"Attributive"	"very"	"other"	9	6	131	46	15	140	192	10.9375	0.729166666666667	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.197938453223309	0.7
"16-19"	"Predicative"	"other"	"good"	4	43	5	60	47	9	112	3.77678571428571	0.0803571428571429	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.67432669847993	0.17
