"adj"	"grad"	"freq"
"1"	"able"	"GradabilityUndetermined"	0
"2"	"accurate"	"GradabilityUndetermined"	0
"3"	"active"	"GradabilityUndetermined"	0
"4"	"aggressive"	"GradabilityUndetermined"	0
"5"	"amazing"	"GradabilityUndetermined"	0
"6"	"ambitious"	"GradabilityUndetermined"	0
"7"	"amusing"	"GradabilityUndetermined"	0
"8"	"angry"	"GradabilityUndetermined"	0
"9"	"annoyed"	"GradabilityUndetermined"	6
"10"	"anti"	"GradabilityUndetermined"	11
"11"	"anxious"	"GradabilityUndetermined"	0
"12"	"arrogant"	"GradabilityUndetermined"	0
"13"	"artistic"	"GradabilityUndetermined"	0
"14"	"attractive"	"GradabilityUndetermined"	0
"15"	"aware"	"GradabilityUndetermined"	0
"16"	"awesome"	"GradabilityUndetermined"	0
"17"	"awful"	"GradabilityUndetermined"	0
"18"	"awkward"	"GradabilityUndetermined"	0
"19"	"bad"	"GradabilityUndetermined"	0
"20"	"basic"	"GradabilityUndetermined"	0
"21"	"battered"	"GradabilityUndetermined"	0
"22"	"beautiful"	"GradabilityUndetermined"	0
"23"	"berserk"	"GradabilityUndetermined"	0
"24"	"best"	"GradabilityUndetermined"	0
"25"	"better"	"GradabilityUndetermined"	243
"26"	"big"	"GradabilityUndetermined"	730
"27"	"bigger"	"GradabilityUndetermined"	56
"28"	"bizarre"	"GradabilityUndetermined"	0
"29"	"black"	"GradabilityUndetermined"	0
"30"	"bloody"	"GradabilityUndetermined"	0
"31"	"blue"	"GradabilityUndetermined"	0
"32"	"bored"	"GradabilityUndetermined"	0
"33"	"boring"	"GradabilityUndetermined"	0
"34"	"bright"	"GradabilityUndetermined"	0
"35"	"brilliant"	"GradabilityUndetermined"	0
"36"	"broke"	"GradabilityUndetermined"	0
"37"	"brown"	"GradabilityUndetermined"	0
"38"	"busy"	"GradabilityUndetermined"	0
"39"	"careful"	"GradabilityUndetermined"	0
"40"	"cheap"	"GradabilityUndetermined"	0
"41"	"cheeky"	"GradabilityUndetermined"	0
"42"	"clean"	"GradabilityUndetermined"	0
"43"	"clear"	"GradabilityUndetermined"	0
"44"	"clever"	"GradabilityUndetermined"	0
"45"	"close"	"GradabilityUndetermined"	0
"46"	"cold"	"GradabilityUndetermined"	0
"47"	"comfortable"	"GradabilityUndetermined"	0
"48"	"common"	"GradabilityUndetermined"	0
"49"	"competent"	"GradabilityUndetermined"	0
"50"	"competitive"	"GradabilityUndetermined"	0
"51"	"concerned"	"GradabilityUndetermined"	0
"52"	"confident"	"GradabilityUndetermined"	0
"53"	"conservative"	"GradabilityUndetermined"	0
"54"	"convenient"	"GradabilityUndetermined"	0
"55"	"convinced"	"GradabilityUndetermined"	0
"56"	"cool"	"GradabilityUndetermined"	0
"57"	"correct"	"GradabilityUndetermined"	0
"58"	"crappy"	"GradabilityUndetermined"	2
"59"	"crazy"	"GradabilityUndetermined"	0
"60"	"cultural"	"GradabilityUndetermined"	0
"61"	"curious"	"GradabilityUndetermined"	0
"62"	"cute"	"GradabilityUndetermined"	0
"63"	"dangerous"	"GradabilityUndetermined"	0
"64"	"dark"	"GradabilityUndetermined"	0
"65"	"dear"	"GradabilityUndetermined"	0
"66"	"decent"	"GradabilityUndetermined"	0
"67"	"deep"	"GradabilityUndetermined"	0
"68"	"definite"	"GradabilityUndetermined"	0
"69"	"dependent"	"GradabilityUndetermined"	0
